Company name,Company Domain Name,Website URL,Phone Number,City,State/Region,Postal Code,Country,Industry,Gewerk,Lead Score,MA-Schaetzung,MA-Konfidenz,Ansprechpartner,Aufhaenger,Fit-Signale,Quelle-URL,Lead-Status,Gefunden am,Land-Code
Malerei Rom e.U.,malerei-rom.at,https://www.malerei-rom.at/,+43 664 3321535,Klagenfurt am Wörthersee,Kärnten,9020,Austria,Construction,Maler,A,~8,mittel,Carmen Rom (Inhaberin / Malermeisterin),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Maler/Stuck.-Kunden moderner.,"inhabergefuehrt, 3. Generation, gegr. 1969 | keine Online-Terminbuchung | breites Leistungsspektrum -> mehrere Kolonnen | aktiv auf IG/FB, aber kein modernes Buchungs-Tooling",https://www.malerei-rom.at/,uebergeben,2026-07-14,AT
Fliesenleger Daniel Levarda,fliesen-levarda.at,https://www.fliesen-levarda.at/,+43 676 3033731,Villach,Kärnten,9500,Austria,Construction,Fliesenleger,B,~3,niedrig,Daniel Levarda (Inhaber),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","junger Kleinbetrieb (gegr. 2020) - Wachstumsphase | keine Online-Terminbuchung ('Termine nach Vereinbarung') | inhabergefuehrt, 15 J. Berufserfahrung | spezialisiert Grossformat/barrierefreie Baeder -> Aufmass-Aufwand",https://www.fliesen-levarda.at/,uebergeben,2026-07-14,AT
Breimayer Fliesen KG,meisterfliesen.at,https://meisterfliesen.at/,+43 676 4280008,Oberhöflein (bei Wiener Neustadt),Niederösterreich,2732,Austria,Construction,Fliesenleger,B,~4,niedrig,Franz Breimayer (Inhaber / Fliesenlegermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Fliesenleger-Kunden moderner.,inhabergefuehrter Meisterbetrieb seit 2005 | keine Online-Terminbuchung | mehrere Einsatzgebiete -> mehrere Kolonnen | im Firmenbuch (UID ATU65486100) bestaetigt,https://meisterfliesen.at/,uebergeben,2026-07-14,AT
Frank Doric Parkettboden GmbH (Spechtparkett),spechtparkett.de,https://www.spechtparkett.de/,0511 3509293,Hannover,Niedersachsen,30179,Germany,Construction,Bodenleger / Parkett,A,~19,mittel,Frank Doric (Inhaber / GF (Parkettlegermeister)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt & lange am Markt (seit 1992/GmbH 1999) | offene Stellen / Ausbildungsbetrieb -> Personal-/Wachstumsdruck | keine Online-Terminbuchung | 6 Gesellen -> mehrere Verlegetrupps,https://www.spechtparkett.de/impressum/,uebergeben,2026-07-14,DE
Estrichbau Lampe GmbH,estrichbau-lampe.de,https://www.estrichbau-lampe.de/,05121 284610,Diekholzen (Region Hildesheim),Niedersachsen,31199,Germany,Construction,Estrichleger,B,~10,niedrig,Frank Lampe (geschäftsführender Gesellschafter),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt & lange am Markt (25+ Jahre) | offene Stellen: Estrichleger + Helfer -> Kolonnenbedarf | keine Online-Terminbuchung; keine Social-Media -> geringe Digitalisierung,https://www.estrichbau-lampe.de/impressum,uebergeben,2026-07-14,DE
Estriche Biedermann (Inh. Tilo Biedermann),tilo-biedermann-estriche.de,https://www.tilo-biedermann-estriche.de/,034208 787917,"Löbnitz (Nordsachsen, Raum Leipzig)",Sachsen,04509,Germany,Construction,Estrichleger,A,~3,mittel,Tilo Biedermann (Inhaber / Estrichlegermeister),"Vieles läuft bei Ihnen offenbar noch über Telefon, Zettel und private Mailadresse – mit digitalen Angeboten, Rechnungen und Baustellendoku sparen Sie im Büro pro Woche spürbar Zeit, ohne Ihre gewohnte Arbeitsweise umzukrempeln.","inhabergefuehrt, Meisterbetrieb (gegr. 2008) | kleines Team (3) -> klassische Organisation; Fax noch aktiv | keine Online-Terminbuchung, keine Social -> Papier/Telefon-Prozesse",https://www.tilo-biedermann-estriche.de/impressum/,uebergeben,2026-07-14,DE
Ehleiter Zimmerei Holzhausbau GmbH & Co. KG,zimmerei-ehleiter.de,https://www.zimmerei-ehleiter.de/,08273 2979,Ellgau,Bayern,86679,Germany,Construction,Zimmerer/Holzbau,A,~15,mittel,,"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",15 MA = ideale ICP-Groesse | offene Stelle 'Zimmerer' -> Personalbedarf | keine echte Online-Terminbuchung | aktiv auf Instagram & Facebook -> digital-affin | familiengefuehrter Holzhausbau,https://www.zimmerei-ehleiter.de/,uebergeben,2026-07-14,DE
Zimmerei-Holzbau Michael Hof,zimmerei-holzbau-hof.de,https://zimmerei-holzbau-hof.de/,08704 9292659,Weihmichl,Bayern,84107,Germany,Construction,Zimmerer/Holzbau,B,,niedrig,Michael Hof (Inhaber / Zimmerermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",kleiner inhabergefuehrter Meisterbetrieb -> Papier/Excel-Prozesse | Stellenangebote -> Personalbedarf | keine Online-Terminbuchung | Inhaber lehrt an Meisterschule -> entwicklungsaffin | Facebook vorhanden,https://zimmerei-holzbau-hof.de/,uebergeben,2026-07-14,DE
Ihr Zimmerermeister Martin Schwandt,ihrzimmerermeister.com,https://www.ihrzimmerermeister.com/,+49 152 28607402,Dresden,Sachsen,01157,Germany,Construction,Dachdecker/Zimmerer,A,~7,mittel,Martin Schwandt (Inhaber / Zimmerermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Dach/Zimmerer-Kunden moderner.,"klar in ICP-Groesse (ca. 7 MA), inhabergefuehrt | mehrere Kolonnen/Gewerke moeglich (Holzbau, Planung) | keine Online-Terminbuchung, Kontakt nur Telefon/Formular | aktiv auf Instagram/Facebook/YouTube (digital-affin) | bietet Finanzierung an (projektorientiert)",https://www.ihrzimmerermeister.com/impressum-zimmermann,uebergeben,2026-07-14,DE
Dachdeckermeister Jens Fischer GmbH,ddm-jens-fischer.de,https://www.ddm-jens-fischer.de/,+49 371 4585977,Chemnitz,Sachsen,09113,Germany,Construction,Dachdecker/Zimmerer,B,~8,niedrig,Jens Fischer (Geschäftsführer / Dachdeckermeister),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","familiengefuehrter Fachbetrieb seit 2000 | offene Stelle ('Job mit Aussicht') -> Wachstum/Kapazitaet | keine Online-Terminbuchung, nur Kontaktformular | mehrere Gewerke (Doku-/Angebotsbedarf) | Innungsbetrieb (Dachdeckerinnung Chemnitz)",https://www.ddm-jens-fischer.de/unternehmen,uebergeben,2026-07-14,DE
