Company name,Company Domain Name,Website URL,Phone Number,City,State/Region,Postal Code,Country,Industry,Gewerk,Lead Score,MA-Schaetzung,MA-Konfidenz,Ansprechpartner,Aufhaenger,Fit-Signale,Quelle-URL,Lead-Status,Gefunden am,Land-Code
Malerei Rom e.U.,malerei-rom.at,https://www.malerei-rom.at/,+43 664 3321535,Klagenfurt am Wörthersee,Kärnten,9020,Austria,Construction,Maler,A,~8,mittel,Carmen Rom (Inhaberin / Malermeisterin),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Maler/Stuck.-Kunden moderner.,"inhabergefuehrt, 3. Generation, gegr. 1969 | keine Online-Terminbuchung | breites Leistungsspektrum -> mehrere Kolonnen | aktiv auf IG/FB, aber kein modernes Buchungs-Tooling",https://www.malerei-rom.at/,uebergeben,2026-07-14,AT
Fliesenleger Daniel Levarda,fliesen-levarda.at,https://www.fliesen-levarda.at/,+43 676 3033731,Villach,Kärnten,9500,Austria,Construction,Fliesenleger,B,~3,niedrig,Daniel Levarda (Inhaber),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.","junger Kleinbetrieb (gegr. 2020) - Wachstumsphase | keine Online-Terminbuchung ('Termine nach Vereinbarung') | inhabergefuehrt, 15 J. Berufserfahrung | spezialisiert Grossformat/barrierefreie Baeder -> Aufmass-Aufwand",https://www.fliesen-levarda.at/,uebergeben,2026-07-14,AT
Malermeisterbetrieb Prügger (René Prügger),maler-pruegger.at,https://www.maler-pruegger.at,+43 664 1206882,Deutschfeistritz,Steiermark,8121,Austria,Construction,Maler,B,~5,niedrig,René Prügger (Inhaber (2. Generation)),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Maler/Stuck.-Kunden moderner.,"inhabergefuehrt, gegr. 1982, 2. Generation | keine Online-Terminbuchung (nur Anfrageformular) | gmx-Freemail-Adresse -> wenig digitalisiert | raeumt Graz + Umgebung ab (mehrere Baustellen)",https://www.maler-pruegger.at,neu,2026-07-14,AT
Tischlerei Raum und Zeit (Thomas Reicher),raum-und-zeit.at,https://www.raum-und-zeit.at/,+43 664 5485763,Madstein (Bezirk Leoben),Steiermark,8770,Austria,Construction,Tischler,B,~2,niedrig,Thomas Reicher (Inhaber),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Tischler-Kunden moderner.,"inhabergefuehrt seit 2002, Kleinbetrieb | aon.at-Freemail -> wenig digitalisiert | keine Online-Terminbuchung | Grenzfall Ein-Personen-Betrieb, aber Web + Kontakt vorhanden",https://www.raum-und-zeit.at/start/,neu,2026-07-14,AT
Breimayer Fliesen KG,meisterfliesen.at,https://meisterfliesen.at/,+43 676 4280008,Oberhöflein (bei Wiener Neustadt),Niederösterreich,2732,Austria,Construction,Fliesenleger,B,~4,niedrig,Franz Breimayer (Inhaber / Fliesenlegermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Fliesenleger-Kunden moderner.,inhabergefuehrter Meisterbetrieb seit 2005 | keine Online-Terminbuchung | mehrere Einsatzgebiete -> mehrere Kolonnen | im Firmenbuch (UID ATU65486100) bestaetigt,https://meisterfliesen.at/,uebergeben,2026-07-14,AT
Tischlerei Wolfgang Auer,auer-tischlerei.at,https://www.auer-tischlerei.at/,+43 676 3198977,Mauerbach (Wien-Umgebung),Niederösterreich,3001,Austria,Construction,Tischler,B,~3,niedrig,Wolfgang Auer (Inhaber / Tischlermeister),Anfragen erreichen Sie aktuell nur per Telefon/Formular – mit digitaler Angebots- und Rechnungserstellung plus mobiler Baustellendoku verlieren Sie im Tagesgeschäft weniger Zeit und wirken für Tischler-Kunden moderner.,"inhabergefuehrt seit 2003, kleines Team | keine Online-Terminbuchung | tplus.at-Provider-Mail -> wenig digitalisiert | bedient Wien 13./14. Bezirk + Umgebung",https://www.auer-tischlerei.at/,neu,2026-07-14,AT
Frank Doric Parkettboden GmbH (Spechtparkett),spechtparkett.de,https://www.spechtparkett.de/,0511 3509293,Hannover,Niedersachsen,30179,Germany,Construction,Bodenleger / Parkett,A,~19,mittel,Frank Doric (Inhaber / GF (Parkettlegermeister)),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt & lange am Markt (seit 1992/GmbH 1999) | offene Stellen / Ausbildungsbetrieb -> Personal-/Wachstumsdruck | keine Online-Terminbuchung | 6 Gesellen -> mehrere Verlegetrupps,https://www.spechtparkett.de/impressum/,uebergeben,2026-07-14,DE
Fußboden Graß GmbH & Co. KG,fussboden-grass.de,https://www.fussboden-grass.de/,0541 89014,Osnabrück,Niedersachsen,49080,Germany,Construction,Bodenleger / Parkett,B,~10,niedrig,,"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt & lange am Markt (Meisterbetrieb seit 1984) | offene Stellen -> Personalbedarf | keine Online-Terminbuchung; Ausstellung nur Mo-Fr 15-18 Uhr (eingeschraenkte Erreichbarkeit),https://www.fussboden-grass.de/impressum,neu,2026-07-14,DE
Estrichbau Lampe GmbH,estrichbau-lampe.de,https://www.estrichbau-lampe.de/,05121 284610,Diekholzen (Region Hildesheim),Niedersachsen,31199,Germany,Construction,Estrichleger,B,~10,niedrig,Frank Lampe (geschäftsführender Gesellschafter),"Ihr Betrieb wächst und Sie stellen aktiv ein – sobald mehr Kolonnen unterwegs sind, wird Einsatzplanung, Zeiterfassung und Baustellendoku schnell zum Nadelöhr. Genau dafür bündelt unsere Handwerkersoftware Angebote, Zeiten und Doku an einem Ort.",inhabergefuehrt & lange am Markt (25+ Jahre) | offene Stellen: Estrichleger + Helfer -> Kolonnenbedarf | keine Online-Terminbuchung; keine Social-Media -> geringe Digitalisierung,https://www.estrichbau-lampe.de/impressum,uebergeben,2026-07-14,DE
Estriche Biedermann (Inh. Tilo Biedermann),tilo-biedermann-estriche.de,https://www.tilo-biedermann-estriche.de/,034208 787917,"Löbnitz (Nordsachsen, Raum Leipzig)",Sachsen,04509,Germany,Construction,Estrichleger,A,~3,mittel,Tilo Biedermann (Inhaber / Estrichlegermeister),"Vieles läuft bei Ihnen offenbar noch über Telefon, Zettel und private Mailadresse – mit digitalen Angeboten, Rechnungen und Baustellendoku sparen Sie im Büro pro Woche spürbar Zeit, ohne Ihre gewohnte Arbeitsweise umzukrempeln.","inhabergefuehrt, Meisterbetrieb (gegr. 2008) | kleines Team (3) -> klassische Organisation; Fax noch aktiv | keine Online-Terminbuchung, keine Social -> Papier/Telefon-Prozesse",https://www.tilo-biedermann-estriche.de/impressum/,uebergeben,2026-07-14,DE
